<, 1>
<called, 6>
<Go, 1>
<boys, 1>
<allowed, 9>
<retired, 1>
<window, 3>
<expected, 1>
<poking, 1>
<among, 2>
<poor, 6>
<folks, 1>
<stay, 2>
<herself, 13>
<useful, 1>
<doubt, 2>
<Don, 3>
<worries, 1>
<people, 4>
<sniff, 2>
<crying, 3>
<slyly, 1>
<pulled, 4>
<tail, 1>
<caused, 1>
<Polly, 12>
<utter, 2>
<astonished, 1>
<croak, 1>
<call, 3>
<boots, 3>
<such, 7>
<funny, 4>
<laughed, 3>
<instead, 2>
<from, 13>
<gruffly, 1>
<much, 15>
<replied, 2>
<Oh, 11>
<last, 7>
<fancy, 4>
<any, 11>
<stamina, 1>
<cheerful, 2>
<reply, 1>
<Ha, 3>
<ha, 1>
<Never, 2>
<die, 4>
<pinch, 1>
<snuff, 1>
<goodbye, 2>
<squalled, 1>
<dancing, 1>
<perch, 1>
<clawing, 1>
<tweaked, 1>
<rear, 1>
<Hold, 4>
<tongue, 3>
<disrespectful, 2>
<bird, 6>
<d, 9>
<proper, 2>
<gadding, 1>
<late, 2>
<rattlepated, 2>
<cried, 9>
<tumbling, 1>
<bounce, 1>
<shaking, 2>
<laughter, 1>
<speech, 3>
<bear, 7>
<try, 10>
<alone, 8>
<Get, 2>
<along, 4>
<fright, 2>
<screamed, 1>
<rude, 1>
<could, 22>
<restrain, 1>
<CHAPTER, 3>
<EIGHTEEN, 1>
<DARK, 1>
<DAYS, 1>
<sicker, 1>
<anyone, 3>
<suspected, 1>
<girls, 9>
<knew, 4>
<nothing, 6>
<illness, 2>
<Mr, 10>
<Laurence, 7>
<see, 11>
<everything, 3>
<own, 5>
<best, 13>
<deal, 3>
<excellent, 4>
<nurse, 2>
<stayed, 1>
<home, 14>
<lest, 3>
<infect, 1>
<Kings, 1>
<kept, 8>
<house, 9>
<guilty, 1>
<wrote, 3>
<letters, 2>
<mention, 1>
<made, 13>
<deceive, 1>
<bidden, 1>
<wouldn, 2>
<Mrs, 12>
<bein, 1>
<sech, 1>
<trifle, 1>
<devoted, 2>
<night, 8>
<hard, 8>
<task, 1>
<patient, 1>
<bore, 1>
<pain, 2>
<uncomplainingly, 1>
<control, 1>
<there, 12>
<during, 1>
<fits, 1>
<talk, 3>
<hoarse, 1>
<broken, 1>
<play, 4>
<coverlet, 1>
<beloved, 3>
<piano, 3>
<sing, 1>
<throat, 3>
<swollen, 1>
<music, 1>
<know, 9>
<familiar, 1>
<faces, 2>
<around, 1>
<addressed, 1>
<by, 26>
<wrong, 1>
<names, 2>
<imploringly, 1>
<Then, 11>
<grew, 2>
<begged, 3>
<write, 2>
<truth, 2>
<even, 8>
<letter, 3>
<Washington, 2>
<added, 5>
<their, 10>
<relapse, 1>
<coming, 5>
<dark, 3>
<days, 1>
<seemed, 13>
<sad, 2>
<lonely, 1>
<heavy, 7>
<hearts, 3>
<sisters, 6>
<worked, 1>
<waited, 2>
<shadow, 2>
<hovered, 2>
<happy, 7>
<Margaret, 2>
<tears, 5>
<dropping, 2>
<often, 4>
<work, 3>
<rich, 1>
<things, 12>
<luxuries, 1>
<money, 1>
<buy, 1>
<love, 13>
<protection, 1>
<peace, 1>
<health, 1>
<real, 3>
<blessings, 1>
<life, 8>
<living, 1>
<darkened, 1>
<suffering, 1>
<always, 9>
<before, 9>
<eyes, 11>
<pathetic, 1>
<sounding, 1>
<ears, 2>
<learned, 2>
<sweetness, 1>
<nature, 1>
<feel, 7>
<tender, 5>
<place, 6>
<filled, 1>
<acknowledge, 1>
<worth, 1>
<unselfish, 1>
<ambition, 1>
<live, 2>
<others, 1>
<exercise, 2>
<those, 6>
<simple, 1>
<virtues, 1>
<possess, 1>
<value, 2>
<talent, 1>
<wealth, 1>
<exile, 2>
<longed, 3>
<eagerly, 1>
<might, 5>
<service, 1>
<irksome, 1>
<remembering, 1>
<regretful, 1>
<grief, 2>
<many, 7>
<neglected, 2>
<tasks, 1>
<willing, 1>
<haunted, 2>
<restless, 1>
<ghost, 1>
<locked, 1>
<grand, 1>
<because, 3>
<reminded, 1>
<young, 10>
<neighbor, 2>
<used, 4>
<twilight, 2>
<pleasant, 3>
<Everyone, 1>
<missed, 3>
<milkman, 1>
<baker, 1>
<grocer, 1>
<butcher, 1>
<inquired, 1>
<beg, 1>
<pardon, 1>
<thoughtlessness, 1>
<shroud, 1>
<Minna, 1>
<sorts, 2>
<comforts, 1>
<wishes, 1>
<surprised, 1>
<friends, 4>
<shy, 1>
<Meanwhile, 1>
<lay, 10>
<Joanna, 2>
<side, 5>
<wanderings, 1>
<forget, 4>
<forlorn, 3>
<protege, 1>
<cats, 3>
<brought, 5>
<quiet, 10>
<hours, 5>
<full, 8>
<anxiety, 3>
<loving, 3>
<messages, 1>
<bade, 1>
<pencil, 2>
<paper, 4>
<word, 2>
<these, 7>
<intervals, 1>
<consciousness, 1>
<ended, 1>
<hour, 9>
<tossing, 2>
<fro, 4>
<incoherent, 1>
<words, 8>
<lips, 9>
<sank, 1>
<sleep, 8>
<refreshment, 1>
<twice, 1>
<telegram, 3>
<desk, 1>
<ready, 5>
<send, 3>
<stirred, 1>
<first, 8>
<December, 1>
<wintry, 2>
<indeed, 1>
<bitter, 2>
<wind, 3>
<blew, 1>
<snow, 4>
<fell, 6>
<fast, 4>
<year, 1>
<getting, 2>
<its, 7>
<When, 4>
<morning, 3>
<held, 3>
<hot, 1>
<hand, 13>
<both, 6>
<laid, 5>
<gently, 3>
<saying, 6>
<low, 3>
<If, 7>
<husband, 1>
<nodded, 1>
<without, 3>
<speaking, 2>
<twitched, 1>
<nervously, 1>
<dropped, 3>
<strength, 1>
<limbs, 1>
<sound, 4>
<standing, 1>
<pale, 4>
<face, 23>
<ran, 3>
<snatched, 1>
<throwing, 3>
<rushed, 1>
<storm, 4>
<noiselessly, 1>
<cloak, 1>
<mending, 1>
<again, 9>
<read, 5>
<thankfully, 1>
<weight, 1>
<lifted, 3>
<misery, 1>
<quickly, 4>
<Is, 3>
<worse, 3>
<tugging, 1>
<rubber, 1>
<tragic, 1>
<expression, 2>
<Did, 3>
<responsibility, 1>
<seated, 2>
<hall, 2>
<took, 8>
<rebellious, 1>
<seeing, 1>
<shook, 1>
<bad, 6>
<startled, 1>
<Yes, 8>
<flocks, 1>
<green, 2>
<doves, 2>
<calls, 1>
<vine, 1>
<leaves, 1>
<wall, 1>
<nobody, 1>
<help, 11>
<father, 4>
<God, 7>
<seems, 1>
<far, 4>
<Him, 2>
<As, 4>
<streamed, 1>
<cheeks, 1>
<stretched, 2>
<helpless, 1>
<sort, 4>
<groping, 1>
<whispering, 2>
<lump, 1>
<speak, 3>
<warm, 2>
<grasp, 1>
<friendly, 1>
<human, 1>
<comforted, 1>
<sore, 1>
<lead, 1>
<nearer, 2>
<Divine, 2>
<arm, 2>
<uphold, 1>
<comfortable, 3>
<fitting, 1>
<stood, 4>
<silent, 1>
<stroking, 1>
<bent, 1>
