<secret, 4>
<weighed, 1>
<upon, 4>
<found, 3>
<hard, 7>
<mysterious, 1>
<important, 2>
<observed, 3>
<trouble, 5>
<inquiries, 2>
<learned, 2>
<best, 5>
<manage, 4>
<law, 1>
<contraries, 1>
<felt, 10>
<sure, 3>
<being, 6>
<told, 10>
<ask, 2>
<surprised, 2>
<therefore, 1>
<silence, 4>
<remained, 1>
<unbroken, 1>
<assumed, 4>
<patronizing, 1>
<decidedly, 4>
<aggravated, 1>
<who, 21>
<turn, 3>
<dignified, 3>
<reserve, 1>
<devoted, 3>
<This, 3>
<left, 4>
<devices, 1>
<taken, 4>
<place, 6>
<nurse, 1>
<bade, 1>
<rest, 5>
<exercise, 1>
<amuse, 1>
<after, 16>
<confinement, 2>
<Amy, 12>
<gone, 2>
<refuge, 1>
<enjoyed, 1>
<society, 1>
<dreaded, 1>
<incorrigible, 1>
<tease, 1>
<feared, 1>
<coax, 1>
<mischief, 5>
<loving, 2>
<lad, 2>
<sooner, 1>
<suspected, 1>
<mystery, 1>
<set, 3>
<himself, 9>
<find, 4>
<led, 1>
<trying, 8>
<life, 4>
<wheedled, 1>
<bribed, 1>
<ridiculed, 1>
<threatened, 2>
<scolded, 1>
<affected, 2>
<indifference, 1>
<might, 4>
<surprise, 8>
<truth, 6>
<declared, 1>
<knew, 10>
<didn, 12>
<care, 9>
<dint, 1>
<perseverance, 1>
<satisfied, 5>
<concerned, 1>
<Mr, 42>
<Feeling, 1>
<indignant, 1>
<tutor, 1>
<confidence, 1>
<wits, 2>
<work, 5>
<devise, 1>
<proper, 5>
<retaliation, 1>
<slight, 1>
<meanwhile, 2>
<apparently, 1>
<forgotten, 2>
<matter, 5>
<preparations, 1>
<return, 5>
<sudden, 5>
<change, 4>
<seemed, 10>
<two, 7>
<unlike, 1>
<started, 3>
<spoken, 2>
<blushed, 2>
<quiet, 2>
<sat, 9>
<sewing, 3>
<timid, 1>
<troubled, 2>
<To, 4>
<answered, 7>
<well, 13>
<silenced, 1>
<begging, 2>
<alone, 4>
<feels, 2>
<mean, 8>
<fast, 4>
<got, 9>
<most, 5>
<symptoms, 1>
<twittery, 1>
<cross, 2>
<eat, 4>
<lies, 2>
<awake, 1>
<mopes, 1>
<corners, 1>
<caught, 2>
<singing, 2>
<song, 3>
<once, 7>
<turned, 5>
<red, 3>
<poppy, 1>
<Whatever, 1>
<ready, 4>
<measures, 1>
<however, 1>
<violent, 1>
<Nothing, 1>
<kind, 8>
<patient, 2>
<Father, 9>
<coming, 2>
<settle, 3>
<Here, 8>
<note, 9>
<sealed, 1>
<How, 7>
<odd, 1>
<seals, 1>
<mine, 3>
<distributed, 1>
<contents, 1>
<post, 1>
<office, 1>
<were, 21>
<deep, 2>
<affairs, 2>
<sound, 2>
<made, 16>
<staring, 1>
<frightened, 2>
<child, 2>
<what, 22>
<cried, 9>
<running, 2>
<while, 6>
<tried, 5>
<take, 5>
<paper, 5>
<done, 13>
<mistake, 2>
<could, 12>
<hid, 2>
<hands, 9>
<crying, 1>
<broken, 1>
<Me, 1>
<ve, 11>
<nothing, 9>
<talking, 3>
<bewildered, 2>
<mild, 4>
<kindled, 2>
<anger, 1>
<pulled, 1>
<crumpled, 1>
<pocket, 2>
<threw, 2>
<saying, 6>
<reproachfully, 1>
<wrote, 3>
<bad, 1>
<boy, 10>
<helped, 1>
<rude, 2>
<cruel, 1>
<both, 6>
<heard, 4>
<reading, 1>
<peculiar, 1>
<Dearest, 1>
<Margaret, 4>
<longer, 1>
<restrain, 1>
<passion, 1>
<must, 7>
<fate, 1>
<dare, 3>
<parents, 1>
<consent, 1>
<adored, 1>
<Laurence, 13>
<help, 3>
<sweet, 3>
<implore, 1>
<through, 2>
<villain, 1>
<That, 7>
<meant, 3>
<pay, 1>
<keeping, 2>
<hearty, 3>
<scolding, 2>
<bring, 5>
<beg, 4>
<pardon, 5>
<burning, 1>
<execute, 1>
<immediate, 1>
<justice, 1>
<held, 6>
<seldom, 1>
<wore, 2>
<Stop, 2>
<clear, 1>
<yourself, 2>
<first, 8>
<played, 1>
<many, 6>
<pranks, 2>
<On, 1>
<haven, 1>
<saw, 6>
<anything, 12>
<true, 4>
<live, 1>
<earnestly, 1>
<believed, 1>
<part, 5>
<sensible, 2>
<known, 1>
<write, 2>
<stuff, 2>
<added, 5>
<scornfully, 2>
<tossing, 1>
<writing, 1>
<comparing, 1>
<quickly, 2>
<again, 9>
<overcome, 1>
<shame, 2>
<scrape, 3>
<wicked, 1>
<explain, 2>
<lectured, 2>
<till, 10>
<hold, 6>
<And, 10>
<door, 14>
<Hush, 2>
<handle, 1>
<worse, 1>
<thought, 9>
<whole, 5>
<story, 1>
<commanded, 1>
<sitting, 4>
<fly, 3>
<received, 5>
<without, 5>
<worried, 4>
<remembered, 4>
<liked, 4>
<mind, 12>
<kept, 2>
<silly, 2>
<deciding, 1>
<books, 2>
<Forgive, 1>
<paid, 1>
<silliness, 1>
<young, 13>
<secrets, 2>
<speak, 2>
<grateful, 1>
<kindness, 3>
<friend, 2>
<smiled, 2>
<pleased, 1>
<clapped, 1>
<exclaiming, 1>
<laugh, 5>
<almost, 1>
<equal, 1>
<Caroline, 1>
<Percy, 1>
<pattern, 1>
<prudence, 1>
<Tell, 2>
<writes, 1>
<different, 1>
<entirely, 2>
<telling, 2>
<sent, 4>
<roguish, 1>
<sister, 3>
<liberties, 1>
<names, 2>
<respectful, 2>
<dreadful, 1>
<against, 5>
<image, 1>
<despair, 2>
<tramped, 2>
<calling, 1>
<All, 1>
<stopped, 1>
<notes, 1>
<closely, 1>
<believe, 5>
<ever, 8>
<either, 2>
<these, 2>
<letters, 1>
<keeps, 2>
<yours, 2>
<crow, 1>
<because, 7>
<warningly, 1>
<Bless, 4>
<comfort, 2>
<sift, 1>
<bottom, 2>
<put, 6>
<stop, 3>
<Away, 1>
<ran, 5>
<gently, 2>
<real, 1>
<feelings, 3>
<Now, 4>
<present, 4>
<scared, 1>
<lovers, 3>
<perhaps, 2>
<petulantly, 2>
<nonsense, 2>
<tongues, 1>
<deceived, 1>
<plagued, 1>
<fool, 2>
<Seeing, 2>
<usually, 1>
<gentle, 1>
<temper, 3>
<roused, 1>
<pride, 2>
<hurt, 4>
<mischievous, 1>
<joke, 4>
<soothed, 1>
<promises, 1>
<entire, 2>
<discretion, 1>
<future, 1>
<instant, 2>
<step, 3>
<hall, 4>
<fled, 1>
<culprit, 1>
<why, 4>
<wanted, 3>
<fearing, 1>
<minute, 6>
<stood, 6>
<twirling, 1>
<hat, 1>
<guilty, 1>
<convicted, 1>
<dismissed, 1>
<chose, 2>
<march, 1>
<sentinel, 1>
<having, 3>
<prisoner, 1>
<bolt, 1>
<voices, 1>
<parlor, 2>
<rose, 2>
<fell, 3>
<half, 1>
<hour, 2>
<during, 1>
<interview, 1>
<When, 1>
<called, 3>
<standing, 1>
<penitent, 1>
<forgave, 2>
<spot, 1>
<wise, 1>
<betray, 1>
<fact, 2>
<humble, 3>
<apology, 4>
<comforted, 1>
<assurance, 1>
<dying, 1>
<wild, 3>
<horses, 2>
<shan, 1>
<drag, 1>
<forgive, 3>
<show, 3>
<ashamed, 2>
<try, 7>
<ungentlemanly, 1>
<sly, 2>
<malicious, 1>
<hide, 1>
<maidenly, 1>
<confusion, 1>
<under, 2>
<gravely, 1>
<reproachful, 1>
<abominable, 1>
<deserve, 2>
<month, 1>
<though, 8>
<folded, 1>
<imploring, 1>
<gesture, 3>
<spoke, 5>
<irresistibly, 1>
<persuasive, 2>
<tone, 4>
<impossible, 2>
<frown, 2>
<spite, 5>
<scandalous, 1>
<behavior, 1>
<pardoned, 1>
<grave, 2>
<relaxed, 1>
<efforts, 1>
<sober, 1>
<declare, 1>
<atone, 1>
<sins, 2>
<sorts, 1>
<penances, 1>
<abase, 1>
