<a, 239>
<quicker, 1>
<pace, 1>
<resolving, 1>
<to, 270>
<be, 55>
<calm, 5>
<and, 400>
<kind, 7>
<but, 80>
<firm, 5>
<quite, 10>
<show, 7>
<her, 195>
<where, 5>
<she, 113>
<had, 61>
<failed, 1>
<in, 97>
<duty, 5>
<spouse, 1>
<Meg, 33>
<likewise, 2>
<resolved, 2>
<him, 39>
<his, 43>
<She, 25>
<longed, 2>
<run, 2>
<meet, 2>
<beg, 2>
<pardon, 2>
<kissed, 3>
<comforted, 1>
<as, 92>
<was, 128>
<sure, 4>
<of, 186>
<being, 8>
<course, 7>
<did, 21>
<nothing, 8>
<the, 359>
<sort, 6>
<when, 31>
<saw, 5>
<John, 30>
<coming, 4>
<began, 6>
<hum, 1>
<naturally, 5>
<rocked, 1>
<sewed, 2>
<like, 40>
<lady, 12>
<leisure, 1>
<best, 20>
<parlor, 2>
<little, 33>
<disappointed, 1>
<not, 41>
<find, 5>
<tender, 2>
<Niobe, 1>
<feeling, 11>
<that, 100>
<dignity, 1>
<demanded, 2>
<first, 10>
<apology, 1>
<he, 46>
<made, 17>
<none, 1>
<only, 17>
<came, 11>
<leisurely, 1>
<laid, 5>
<himself, 4>
<upon, 19>
<sofa, 1>
<with, 108>
<singularly, 1>
<relevant, 1>
<remark, 4>
<We, 8>
<are, 32>
<going, 7>
<have, 41>
<new, 11>
<moon, 1>
<my, 44>
<dear, 23>
<I, 180>
<ve, 8>
<no, 22>
<objection, 1>
<s, 85>
<equally, 1>
<soothing, 1>
<A, 7>
<few, 4>
<other, 10>
<topics, 1>
<general, 3>
<interest, 3>
<were, 24>
<introduced, 3>
<by, 22>
<Mr, 9>
<Brooke, 3>
<wet, 1>
<blanketed, 1>
<Mrs, 13>
<conversation, 3>
<languished, 1>
<went, 8>
<one, 42>
<window, 3>
<unfolded, 1>
<paper, 2>
<wrapped, 1>
<it, 138>
<figuratively, 1>
<speaking, 1>
<if, 40>
<rosettes, 1>
<for, 102>
<slippers, 1>
<among, 2>
<necessaries, 2>
<life, 11>
<Neither, 2>
<spoke, 2>
<Both, 1>
<looked, 12>
<both, 9>
<felt, 8>
<desperately, 1>
<uncomfortable, 3>
<Oh, 8>
<thought, 5>
<married, 3>
<is, 40>
<very, 26>
<trying, 4>
<does, 4>
<need, 3>
<infinite, 1>
<patience, 2>
<well, 20>
<love, 4>
<Mother, 2>
<says, 3>
<The, 16>
<word, 7>
<suggested, 1>
<maternal, 2>
<counsels, 1>
<given, 3>
<long, 5>
<ago, 3>
<received, 4>
<unbelieving, 1>
<protests, 1>
<good, 16>
<man, 5>
<has, 7>
<faults, 1>
<you, 113>
<must, 9>
<learn, 4>
<see, 15>
<bear, 3>
<them, 28>
<remembering, 1>
<your, 31>
