<sorting, 1>
<rosy, 1>
<handful, 1>
<just, 6>
<swept, 2>
<added, 6>
<lap, 2>
<They, 8>
<grow, 3>
<combs, 1>
<brown, 3>
<straw, 1>
<hats, 1>
<running, 2>
<When, 3>
<stop, 4>
<romping, 1>
<ways, 2>
<reprovingly, 1>
<settled, 1>
<cuffs, 1>
<smoothed, 1>
<wind, 3>
<taken, 3>
<liberties, 1>
<Never, 1>
<stiff, 1>
<old, 11>
<use, 1>
<crutch, 1>
<make, 11>
<hard, 8>
<sudden, 4>
<Let, 1>
<little, 32>
<girl, 4>
<As, 7>
<spoke, 6>
<over, 20>
<trembling, 1>
<lips, 4>
<lately, 1>
<felt, 20>
<Margaret, 3>
<fast, 3>
<getting, 4>
<woman, 2>
<dread, 1>
<separation, 1>
<surely, 1>
<some, 15>
<seemed, 11>
<near, 5>
<He, 10>
<saw, 11>
<trouble, 5>
<drew, 4>
<attention, 1>
<from, 17>
<asking, 1>
<quickly, 2>
<calling, 1>
<fine, 4>
<Gardiners, 1>
<Sallie, 1>
<has, 5>
<Belle, 1>
<Moffat, 1>
<wedding, 1>
<gone, 7>
<spend, 1>
<winter, 2>
<Paris, 1>
<Just, 2>
<delightful, 2>
<Do, 1>
<envy, 1>
<afraid, 7>
<glad, 4>
<muttered, 2>
<tying, 1>
<jerk, 1>
<care, 8>
<much, 20>
<riches, 1>
<go, 27>
<marry, 3>
<poor, 8>
<man, 7>
<frowning, 1>
<mutely, 2>
<warning, 2>
<shall, 14>
<observed, 3>
<walking, 2>
<dignity, 1>
<while, 6>
<others, 4>
<followed, 2>
<laughing, 5>
<whispering, 1>
<skipping, 1>
<stones, 1>
<behaving, 1>
<herself, 11>
<though, 8>
<might, 8>
<tempted, 1>
<join, 1>
<best, 9>
<dress, 6>
<For, 6>
<behaved, 1>
<queerly, 1>
<sisters, 5>
<bewildered, 2>
<rushed, 2>
<door, 1>
<postman, 2>
<rang, 1>
<rude, 1>
<Mr, 19>
<Brooke, 11>
<whenever, 1>
<met, 2>
<sit, 2>
<woe, 1>
<begone, 1>
<occasionally, 1>
<jumping, 1>
<shake, 2>
<kiss, 3>
<manner, 3>
<another, 3>
<talking, 2>
<Spread, 2>
<Eagles, 1>
<girls, 27>
<declared, 3>
<their, 32>
<wits, 2>
<On, 2>
<second, 1>
<Saturday, 1>
<after, 9>
<window, 7>
<sat, 10>
<sewing, 2>
<scandalized, 1>
<chasing, 1>
<garden, 4>
<finally, 1>
<capturing, 1>
<Amy, 26>
<bower, 1>
<went, 21>
<there, 15>
<shrieks, 1>
<laughter, 1>
<heard, 2>
<murmur, 1>
<voices, 1>
<flapping, 1>
<newspapers, 1>
<behave, 1>
<young, 7>
<lady, 4>
<sighed, 2>
<watched, 1>
<race, 1>
<disapproving, 1>
<hope, 6>
<funny, 3>
<dear, 24>
<Beth, 45>
<betrayed, 1>
<hurt, 1>
<having, 4>
<commy, 1>
<la, 2>
<fo, 1>
<new, 4>
<frills, 1>
<curls, 1>
<tied, 1>
<becoming, 3>
<agreeable, 1>
<unusually, 1>
<elegant, 1>
<In, 4>
<few, 3>
<minutes, 4>
<bounced, 1>
<laid, 4>
<sofa, 4>
<affected, 1>
<read, 12>
<Have, 1>
<condescension, 1>
<Nothing, 1>
<story, 5>
<amount, 2>
<guess, 3>
<returned, 7>
<carefully, 2>
<keeping, 3>
<name, 2>
<paper, 11>
<aloud, 2>
<amuse, 3>
<us, 13>
<keep, 13>
<mischief, 1>
<most, 5>
<grown, 1>
<tone, 5>
<wondering, 2>
<why, 2>
<kept, 4>
<sheet, 2>
<The, 23>
<Rival, 2>
<Painters, 2>
<sounds, 1>
<Read, 1>
<With, 1>
<loud, 2>
<Hem, 1>
<listened, 2>
<interest, 1>
<tale, 1>
<somewhat, 1>
<pathetic, 1>
<characters, 1>
<died, 5>
<end, 3>
<picture, 1>
<approving, 1>
<remark, 1>
<paused, 1>
<prefer, 1>
<lovering, 2>
<part, 3>
<Viola, 1>
<Angelo, 1>
<favorite, 2>
<names, 1>
<queer, 4>
<wiping, 1>
<tragical, 1>
<Who, 2>
<wrote, 1>
<caught, 3>
<glimpse, 1>
<reader, 1>
<cast, 1>
<displaying, 1>
<flushed, 1>
<countenance, 2>
<mixture, 2>
<solemnity, 1>
<excitement, 2>
<replied, 3>
<voice, 3>
<Your, 8>
<work, 12>
<good, 26>
<critically, 1>
<knew, 7>
<am, 11>
<hug, 2>
<exult, 1>
<Dear, 4>
<delighted, 1>
<sure, 2>
<wouldn, 4>
<Josephine, 1>
<actually, 1>
<printed, 1>
<graciously, 1>
<criticized, 1>
<artistic, 1>
<parts, 1>
<offered, 1>
<hints, 1>
<sequel, 1>
<unfortunately, 1>
<carried, 1>
<hero, 1>
<heroine, 2>
<dead, 4>
<excited, 2>
<skipped, 1>
<sang, 1>
<joy, 2>
<Hannah, 26>
<exclaim, 2>
<Sakes, 1>
<alive, 1>
<astonishment, 1>
<doin, 1>
<Mrs, 23>
<laughed, 3>
<tears, 5>
<peacock, 1>
<done, 10>
<Eagle, 1>
<flap, 1>
<wings, 1>
<triumphantly, 1>
<House, 1>
<passed, 3>
<hand, 7>
<Father, 18>
<laugh, 2>
<family, 5>
<clustered, 1>
<these, 4>
<foolish, 1>
<affectionate, 3>
<jubilee, 1>
<household, 3>
<Stop, 1>
<jabbering, 1>
<Burney, 1>
<grander, 1>
<Evelina, 1>
<Having, 1>
<disposed, 1>
<tales, 1>
<liked, 4>
<pay, 3>
<beginners, 2>
<only, 16>
<let, 18>
<noticed, 1>
<practice, 1>
<improved, 1>
<today, 2>
<sent, 4>
<insisted, 2>
<seeing, 1>
<write, 3>
<going, 9>
<paid, 2>
<happy, 7>
<able, 1>
<support, 2>
<myself, 6>
<help, 15>
<gave, 7>
<wrapping, 1>
<head, 15>
<bedewed, 1>
<natural, 1>
<independent, 1>
<earn, 1>
<those, 1>
<loved, 1>
<dearest, 3>
<wishes, 2>
<heart, 7>
<step, 1>
<toward, 3>
