<e, 1>
<who, 14>
<fill, 3>
<Jo, 79>
<place, 8>
<make, 16>
<happy, 22>
<tell, 8>
<disappointed, 1>
<truth, 4>
<satisfied, 2>
<gladly, 1>
<silence, 4>
<In, 4>
<back, 13>
<dried, 1>
<tears, 3>
<gathered, 1>
<scattered, 1>
<papers, 1>
<sight, 4>
<sundry, 1>
<worn, 2>
<suggestive, 1>
<sketches, 1>
<omens, 1>
<future, 1>
<As, 5>
<beside, 3>
<shy, 1>
<again, 9>
<turned, 6>
<rosy, 2>
<red, 3>
<recollection, 1>
<impulsive, 1>
<greeting, 1>
<couldn, 5>
<t, 77>
<help, 11>
<lonely, 5>
<glad, 8>
<It, 22>
<such, 8>
<surprise, 5>
<look, 15>
<just, 9>
<beginning, 3>
<fear, 3>
<wouldn, 2>
<trying, 4>
<vain, 4>
<speak, 1>
<naturally, 4>
<heard, 2>
<wish, 4>
<something, 11>
<loss, 2>
<dear, 16>
<feel, 8>
<get, 13>
<further, 1>
<bashful, 1>
<sudden, 1>
<lay, 3>
<shoulder, 2>
<have, 36>
<cry, 5>
<instead, 1>
<gave, 5>
<sympathetic, 1>
<squeeze, 2>
<than, 20>
<words, 10>
<You, 23>
<needn, 4>
<anything, 2>
<this, 12>
<comforts, 1>
<softly, 3>
<is, 27>
<mustn, 2>
<dread, 1>
<long, 6>
<We, 11>
<won, 4>
<talk, 9>
<now, 18>
<makes, 3>
<want, 6>
<enjoy, 3>
<go, 6>
<right, 6>
<need, 8>
<Not, 4>
<do, 19>
<Aunt, 4>
<Flo, 2>
<are, 24>
<kind, 5>
<seem, 3>
<like, 31>
<comfortable, 4>
<spoke, 1>
<child, 3>
<whose, 2>
<forgot, 1>
<bashfulness, 1>
<once, 11>
<wanted, 5>
<petting, 1>
<used, 13>
<cheerful, 3>
<conversation, 1>
<needed, 4>
<soul, 5>
<grieved, 1>
<yourself, 2>
<half, 11>
<sick, 1>
<m, 15>
<don, 18>
<more, 25>
<walk, 3>
<wind, 3>
<chilly, 1>
<sit, 2>
<still, 5>
<caressing, 1>
<commanding, 1>
<drew, 2>
<began, 5>
<pace, 1>
<under, 3>
<leaved, 1>
<ease, 1>
<upon, 8>
<legs, 1>
<strong, 5>
<lean, 1>
<familiar, 2>
<smile, 6>
<voice, 6>
<delightfully, 1>
<quaint, 1>
<sheltered, 1>
<many, 5>
<pairs, 1>
<lovers, 2>
<expressly, 1>
<made, 13>
<secluded, 1>
<nothing, 9>
<overlook, 1>
<carry, 2>
<away, 22>
<echo, 1>
<their, 14>
<rippled, 1>
<below, 2>
<For, 7>
<an, 16>
<hour, 5>
<pair, 3>
<walked, 1>
<talked, 3>
<rested, 2>
<enjoying, 4>
<sweet, 8>
<influences, 1>
<charm, 1>
<unromantic, 1>
<dinner, 1>
<bell, 1>
<warned, 1>
<burden, 2>
<loneliness, 3>
<behind, 2>
<Mrs, 11>
<Carrol, 2>
<altered, 2>
<illuminated, 1>
<idea, 4>
<exclaimed, 1>
<Now, 9>
<understand, 3>
<has, 11>
<pining, 2>
<Laurence, 6>
<Bless, 1>
<my, 32>
<thing, 8>
<praiseworthy, 1>
<discretion, 1>
<lady, 1>
<betrayed, 3>
<sign, 2>
<enlightenment, 1>
<cordially, 1>
<urged, 1>
<begged, 1>
<solitude, 1>
<model, 1>
<docility, 1>
<occupied, 1>
<entertain, 1>
<friend, 2>
<usual, 1>
<success, 4>
<lounged, 1>
<scolded, 1>
<idle, 1>
<always, 9>
<walking, 1>
<riding, 1>
<boating, 1>
<most, 6>
<energetic, 2>
<manner, 4>
<admired, 2>
<followed, 2>
<example, 3>
<fast, 6>
<change, 3>
<owing, 1>
<climate, 1>
<contradict, 1>
<excuse, 1>
<own, 9>
<recovered, 2>
<health, 2>
<spirits, 2>
<invigorating, 1>
<exercise, 2>
<worked, 1>
<wholesome, 2>
<minds, 2>
<bodies, 1>
<They, 3>
<clearer, 1>
<views, 2>
<life, 13>
<there, 20>
<among, 2>
<everlasting, 1>
<hills, 1>
<fresh, 3>
<winds, 2>
<blew, 1>
<desponding, 2>
<delusive, 1>
<fancies, 1>
<moody, 2>
<mists, 1>
<warm, 1>
<sunshine, 3>
<sorts, 2>
<aspiring, 1>
<ideas, 1>
<hopes, 4>
<thoughts, 4>
<wash, 1>
