<brotherhood, 1>
<chanting, 1>
<felt, 9>
<new, 12>
<sort, 6>
<shyness, 2>
<steal, 1>
<changed, 2>
<could, 13>
<not, 44>
<find, 11>
<merry, 3>
<faced, 3>
<left, 3>
<moody, 1>
<looking, 7>
<beside, 3>
<handsomer, 1>
<than, 18>
<greatly, 1>
<improved, 3>
<flush, 1>
<pleasure, 6>
<meeting, 1>
<tired, 8>
<spiritless, 1>
<sick, 3>
<nor, 3>
<exactly, 2>
<unhappy, 1>
<older, 1>
<graver, 1>
<year, 3>
<two, 5>
<prosperous, 1>
<life, 5>
<She, 13>
<understand, 3>
<venture, 1>
<ask, 6>
<questions, 5>
<shook, 3>
<head, 9>
<touched, 1>
<wound, 2>
<away, 14>
<across, 1>
<arches, 1>
<Paglioni, 1>
<bridge, 1>
<vanished, 1>
<church, 1>
<Que, 1>
<pensez, 1>
<vous, 1>
<airing, 1>
<quantity, 1>
<quality, 1>
<since, 3>
<abroad, 1>
<mademoiselle, 1>
<good, 22>
<use, 3>
<time, 19>
<result, 2>
<charming, 4>
<replied, 3>
<bowing, 1>
<hand, 9>
<heart, 8>
<admiring, 3>
<blushed, 1>
<somehow, 1>
<compliment, 1>
<satisfy, 3>
<blunt, 1>
<praises, 1>
<used, 7>
<home, 19>
<promenaded, 1>
<round, 1>
<festival, 1>
<occasions, 2>
<told, 7>
<altogether, 2>
<jolly, 1>
<hearty, 1>
<smile, 2>
<approving, 1>
<pat, 1>
<didn, 5>
<tone, 5>
<blase, 1>
<sounded, 2>
<indifferent, 1>
<spite, 3>
<If, 7>
<grow, 2>
<wish, 3>
<stay, 10>
<curious, 1>
<sense, 4>
<disappointment, 1>
<discomfort, 1>
<trying, 4>
<meantime, 1>
<seem, 2>
<quite, 5>
<easy, 2>
<At, 1>
<Avigdor, 1>
<found, 14>
<precious, 4>
<giving, 2>
<read, 7>
<luxuriously, 1>
<shady, 1>
<road, 2>
<between, 2>
<green, 2>
<hedges, 1>
<tea, 4>
<roses, 1>
<bloomed, 1>
<freshly, 1>
<June, 1>
<Beth, 1>
<very, 19>
<poorly, 2>
<Mother, 8>
<says, 1>
<think, 10>
<ought, 3>
<So, 7>
<do, 28>
<another, 2>
<chance, 1>
<sober, 2>
<page, 1>
<right, 5>
<nothing, 6>
<comfort, 5>
<happy, 6>
<enjoying, 1>
<dear, 17>
<drew, 2>
<nearer, 2>
<more, 20>
<self, 3>
<fear, 3>
<sometimes, 3>
<weighed, 1>
<lightened, 1>
<act, 2>
<brotherly, 1>
<seemed, 6>
<assure, 1>
<any, 11>
<would, 21>
<alone, 8>
<strange, 1>
<land, 1>
<laughed, 4>
<showed, 4>
<small, 3>
<sketch, 2>
<Jo, 4>
<scribbling, 1>
<bow, 2>
<rampantly, 1>
<erect, 1>
<upon, 10>
<cap, 2>
<issuing, 1>
<mouth, 2>
<words, 2>
<Genius, 1>
<burns, 1>
<smiled, 3>
<put, 13>
<vest, 1>
<pocket, 1>
<blowing, 1>
<listened, 1>
<interest, 5>
<lively, 4>
<letter, 1>
<This, 7>
<regularly, 1>
<presents, 1>
<morning, 4>
<afternoon, 1>
<alighted, 1>
<among, 1>
<ruins, 1>
<fort, 1>
<flock, 2>
<splendid, 2>
<trooping, 1>
<tamely, 1>
<waiting, 3>
<fed, 1>
<laughing, 1>
<bank, 1>
<above, 2>
<scattered, 1>
<crumbs, 1>
<brilliant, 3>
<birds, 1>
<natural, 4>
<curiosity, 3>
<changes, 2>
<absence, 2>
<wrought, 2>
<perplex, 1>
<disappoint, 1>
<approve, 1>
<overlooking, 1>
<few, 5>
<affectations, 1>
<speech, 1>
<sprightly, 1>
<graceful, 3>
<addition, 1>
<indescribable, 3>
<dress, 9>
<call, 6>
<elegance, 1>
<Always, 1>
<mature, 1>
<age, 2>
<gained, 1>
<certain, 1>
<aplomb, 1>
<carriage, 1>
<conversation, 2>
<woman, 11>
<world, 7>
<petulance, 1>
<itself, 1>
<strong, 4>
<held, 3>
<its, 5>
<own, 6>
<native, 2>
<frankness, 1>
<unspoiled, 1>
<foreign, 2>
<polish, 1>
<saw, 6>
<enough, 3>
<carried, 2>
<picture, 1>
<bright, 2>
<standing, 1>
<sunshine, 2>
<brought, 3>
<soft, 1>
<hue, 1>
<fresh, 3>
<color, 2>
<cheeks, 1>
<golden, 4>
<gloss, 1>
<hair, 5>
<prominent, 1>
<figure, 3>
<pleasant, 4>
<scene, 3>
<As, 4>
<onto, 1>
<stone, 1>
<plateau, 1>
<crowns, 1>
<hill, 1>
<waved, 2>
<welcoming, 1>
<favorite, 1>
<haunt, 1>
<pointing, 1>
<Do, 3>
<remember, 3>
<Cathedral, 1>
<Corso, 1>
<fishermen, 1>
<dragging, 1>
<bay, 1>
<Villa, 1>
<Franca, 1>
<Schubert, 1>
<Tower, 1>
<just, 9>
<below, 1>
<best, 5>
<speck, 2>
<far, 4>
<sea, 1>
<Corsica, 1>
<answered, 6>
<without, 7>
<enthusiasm, 2>
<sight, 3>
<famous, 1>
<feeling, 9>
<spirits, 4>
<anxious, 1>
<also, 1>
<turned, 2>
<strained, 1>
<island, 1>
<greater, 1>
<usurper, 1>
<even, 5>
<interesting, 3>
<Take, 1>
<sake, 3>
<doing, 2>
<seating, 1>
<herself, 13>
<ready, 4>
<But, 14>
<freely, 3>
<only, 9>
<learn, 5>
<roved, 1>
<Continent, 2>
<Greece, 1>
<idling, 1>
<hour, 3>
<again, 10>
<paid, 1>
<respects, 1>
<Mrs, 5>
<Carrol, 1>
<promising, 1>
<return, 2>
<evening, 10>
<must, 6>
<recorded, 1>
