<prudently, 1>
<kept, 4>
<sock, 1>
<knitting, 2>
<model, 1>
<maiden, 1>
<aunt, 1>
<A, 5>
<stealthy, 1>
<glance, 2>
<refreshed, 1>
<sips, 1>
<fresh, 1>
<water, 1>
<after, 14>
<dusty, 1>
<walk, 7>
<sidelong, 1>
<peeps, 1>
<several, 3>
<propitious, 1>
<omens, 1>
<absent, 2>
<minded, 3>
<expression, 4>
<alive, 3>
<interest, 4>
<present, 1>
<moment, 4>
<actually, 4>
<handsome, 2>
<thought, 13>
<forgetting, 1>
<compare, 1>
<usually, 1>
<men, 4>
<great, 9>
<detriment, 1>
<seemed, 11>
<quite, 12>
<inspired, 1>
<though, 15>
<burial, 1>
<customs, 1>
<ancients, 1>
<which, 28>
<conversation, 1>
<strayed, 1>
<considered, 5>
<an, 33>
<exhilarating, 1>
<topic, 1>
<glowed, 1>
<triumph, 1>
<quenched, 1>
<argument, 1>
<father, 3>
<absorbed, 4>
<How, 6>
<enjoy, 3>
<having, 1>
<Lastly, 1>
<dressed, 1>
<new, 8>
<suit, 3>
<black, 3>
<made, 19>
<than, 23>
<ever, 7>
<His, 2>
<bushy, 1>
<hair, 3>
<cut, 3>
<smoothly, 1>
<brushed, 1>
<didn, 10>
<stay, 1>
<order, 2>
<exciting, 1>
<moments, 1>
<rumpled, 1>
<droll, 1>
<way, 10>
<used, 6>
<rampantly, 1>
<erect, 1>
<better, 9>
<flat, 1>
<gave, 7>
<fine, 1>
<forehead, 1>
<Jove, 2>
<aspect, 2>
<Poor, 1>
<glorify, 1>
<plain, 1>
<quietly, 1>
<yet, 5>
<letting, 1>
<nothing, 5>
<escape, 1>
<fact, 4>
<gold, 1>
<sleeve, 1>
<buttons, 1>
<immaculate, 1>
<wristbands, 1>
<Dear, 1>
<old, 16>
<fellow, 5>
<couldn, 3>
<d, 6>
<going, 14>
<wooing, 1>
<born, 3>
<words, 6>
<blush, 2>
<dreadfully, 1>
<drop, 3>
<ball, 3>
<maneuver, 1>
<succeed, 1>
<expected, 1>
<however, 2>
<act, 1>
<setting, 1>
<fire, 2>
<funeral, 1>
<pyre, 1>
<dropped, 1>
<torch, 1>
<metaphorically, 1>
<speaking, 1>
<dive, 1>
<blue, 2>
<Of, 4>
<course, 6>
<bumped, 2>
<heads, 1>
<smartly, 1>
<together, 6>
<stars, 1>
<both, 6>
<flushed, 1>
<laughing, 1>
<without, 5>
<resume, 1>
<seats, 1>
<wishing, 1>
<left, 4>
<Nobody, 1>
<evening, 8>
<Hannah, 3>
<skillfully, 1>
<abstracted, 1>
<babies, 4>
<early, 5>
<hour, 4>
<nodding, 1>
<two, 6>
<rosy, 3>
<poppies, 1>
<others, 3>
<round, 4>
<talking, 2>
<utterly, 3>
<regardless, 3>
<lapse, 1>
<time, 11>
<till, 7>
<Meg, 5>
<maternal, 3>
<mind, 5>
<impressed, 2>
<firm, 1>
<conviction, 2>
<Daisy, 9>
<tumbled, 2>
<out, 21>
<nightgown, 2>
<afire, 1>
<studying, 1>
<structure, 2>
<matches, 1>
<move, 2>
<must, 4>
<our, 9>
<sing, 5>
<good, 17>
<shout, 1>
<safe, 2>
<pleasant, 6>
<vent, 1>
<jubilant, 1>
<emotions, 1>
<soul, 2>
<thoughtless, 1>
<or, 16>
<untrue, 1>
<Beth, 7>
<still, 4>
<among, 3>
<peaceful, 1>
<presence, 2>
<invisible, 1>
<dearer, 2>
<death, 2>
<break, 2>
<household, 1>
<league, 1>
<love, 9>
<dissoluble, 1>
<chair, 3>
<its, 4>
<place, 5>
<tidy, 2>
<basket, 3>
<bit, 1>
<work, 3>
<unfinished, 1>
<needle, 1>
<grew, 5>
<heavy, 1>
<accustomed, 1>
<shelf, 1>
<beloved, 2>
<instrument, 1>
<touched, 2>
<moved, 1>
<serene, 2>
<smiling, 2>
<days, 3>
<seeming, 1>
<say, 13>
<Be, 1>
<here, 6>
<Play, 1>
<Amy, 19>
<Let, 1>
<hear, 3>
<much, 13>
<improved, 2>
<pardonable, 1>
<promising, 1>
<pupil, 3>
<whispered, 1>
<full, 6>
