<drove, 2>
<off, 5>
<high, 3>
<dudgeon, 1>
<She, 5>
<seemed, 8>
<courage, 1>
<left, 4>
<alone, 2>
<stood, 4>
<moment, 6>
<undecided, 2>
<whether, 3>
<laugh, 9>
<cry, 4>
<Before, 1>
<taken, 1>
<possession, 1>
<who, 25>
<breath, 3>
<hearing, 2>
<Thank, 2>
<defending, 1>
<proving, 1>
<bit, 2>
<didn, 3>
<till, 4>
<abused, 1>
<needn, 1>
<may, 9>
<stay, 2>
<Here, 4>
<chance, 2>
<crushing, 1>
<speech, 1>
<stately, 2>
<exit, 1>
<never, 17>
<either, 2>
<disgraced, 1>
<eyes, 13>
<meekly, 1>
<whispering, 2>
<Yes, 4>
<hiding, 1>
<waistcoat, 1>
<Fifteen, 1>
<minutes, 3>
<departure, 1>
<softly, 1>
<downstairs, 1>
<paused, 1>
<an, 20>
<instant, 1>
<parlor, 6>
<sound, 2>
<within, 2>
<nodded, 2>
<smiled, 3>
<satisfied, 7>
<expression, 5>
<seen, 6>
<planned, 1>
<settled, 2>
<fun, 2>
<over, 21>
<transfixed, 1>
<threshold, 1>
<spectacle, 2>
<which, 38>
<held, 3>
<staring, 2>
<mouth, 2>
<nearly, 3>
<wide, 2>
<open, 2>
<Going, 1>
<exult, 1>
<fallen, 3>
<enemy, 2>
<praise, 1>
<strong, 1>
<minded, 1>
<sister, 2>
<banishment, 1>
<objectionable, 1>
<lover, 1>
<certainly, 4>
<shock, 1>
<behold, 1>
<aforesaid, 1>
<serenely, 1>
<sofa, 2>
<strongminded, 1>
<enthroned, 1>
<knee, 1>
<wearing, 1>
<most, 7>
<abject, 1>
<submission, 1>
<gave, 13>
<sort, 5>
<gasp, 1>
<cold, 3>
<shower, 1>
<bath, 1>
<suddenly, 1>
<unexpected, 1>
<turning, 2>
<tables, 2>
<actually, 3>
<At, 1>
<odd, 2>
<lovers, 5>
<turned, 3>
<jumped, 1>
<shy, 2>
<called, 5>
<laughed, 4>
<coolly, 1>
<kissed, 2>
<astonished, 2>
<newcomer, 1>
<Sister, 1>
<congratulate, 1>
<adding, 2>
<insult, 2>
<injury, 1>
<altogether, 3>
<too, 9>
<wild, 1>
<demonstration, 2>
<vanished, 2>
<word, 6>
<Rushing, 1>
<upstairs, 3>
<startled, 1>
<invalids, 1>
<exclaiming, 1>
<tragically, 1>
<burst, 1>
<room, 9>
<Oh, 2>
<somebody, 1>
<quick, 2>
<acting, 1>
<dreadfully, 1>
<Mrs, 16>
<speed, 1>
<casting, 1>
<bed, 1>
<scolded, 1>
<tempestuously, 1>
<awful, 1>
<news, 1>
<Beth, 19>
<Amy, 28>
<girls, 14>
<however, 2>
<considered, 2>
<agreeable, 2>
<interesting, 1>
<event, 1>
<comfort, 2>
<them, 26>
<refuge, 1>
<garret, 3>
<confided, 1>
<troubles, 1>
<rats, 1>
<Nobody, 2>
<afternoon, 1>
<great, 14>
<deal, 2>
<quiet, 8>
<eloquence, 1>
<pleaded, 1>
<suit, 2>
<plans, 5>
<persuaded, 1>
<arrange, 1>
<just, 13>
<wanted, 1>
<tea, 1>
<bell, 1>
<rang, 1>
<before, 10>
<finished, 1>
<describing, 1>
<paradise, 1>
<meant, 3>
<earn, 1>
<proudly, 1>
<supper, 1>
<jealous, 1>
<dismal, 2>
<devotion, 2>
<dignity, 1>
<beamed, 2>
<distance, 1>
<while, 4>
<surveyed, 1>
<couple, 2>
<tender, 5>
<satisfaction, 3>
<perfectly, 4>
<calling, 1>
<unworldly, 1>
<ate, 1>
<everyone, 7>
<looked, 14>
<brighten, 1>
<amazingly, 1>
<first, 12>
<romance, 3>
<nothing, 7>
<pleasant, 2>
<happens, 1>
<trying, 3>
<decide, 2>
<group, 1>
<sketch, 1>
<planning, 2>
<How, 2>
<happened, 2>
<since, 1>
<seems, 2>
<year, 4>
<ago, 2>
<answered, 4>
<blissful, 1>
<dream, 1>
<lifted, 1>
<common, 2>
<things, 7>
<bread, 1>
<butter, 1>
<joys, 1>
<come, 8>
<close, 3>
<sorrows, 1>
<time, 8>
<rather, 6>
<changes, 3>
<In, 6>
<families, 2>
<comes, 2>
<then, 12>
<full, 6>
<events, 1>
<ends, 2>
<Hope, 1>
<next, 5>
<will, 22>
<end, 3>
<muttered, 1>
<hard, 4>
<absorbed, 3>
<stranger, 1>
<loved, 5>
<few, 6>
<persons, 2>
<dearly, 1>
<dreaded, 1>
<their, 29>
<affection, 1>
<lessened, 1>
<hope, 2>
<third, 1>
<smiling, 1>
<become, 1>
<possible, 3>
<Doesn, 1>
<seem, 2>
<asked, 6>
<hurry, 1>
<wedding, 12>
<learn, 3>
<ready, 5>
<short, 2>
<sweet, 3>
<gravity, 1>
<am, 12>
<labors, 1>
<picking, 1>
<napkin, 1>
<caused, 3>
<shake, 1>
<relief, 1>
<front, 3>
<banged, 1>
<Laurie, 39>
<conversation, 1>
<mistaken, 1>
