<change, 3>
<Why, 3>
<quickly, 1>
<suggested, 2>
<double, 1>
<meaning, 3>
<With, 1>
<work, 9>
<answered, 3>
<soberly, 4>
<something, 9>
<feel, 5>
<restless, 2>
<seeing, 3>
<doing, 4>
<learning, 2>
<am, 14>
<brood, 1>
<small, 4>
<affairs, 1>
<need, 2>
<stirring, 1>
<spared, 1>
<hop, 2>
<try, 4>
<wings, 2>
<To, 3>
<New, 6>
<York, 2>
<bright, 1>
<idea, 2>
<yesterday, 1>
<Mrs, 23>
<Kirke, 13>
<wrote, 1>
<respectable, 2>
<person, 1>
<teach, 2>
<children, 8>
<sew, 2>
<hard, 8>
<thing, 8>
<think, 13>
<should, 7>
<suit, 2>
<My, 6>
<out, 28>
<service, 2>
<great, 8>
<boarding, 1>
<house, 7>
<March, 5>
<surprised, 3>
<displeased, 1>
<exactly, 2>
<kindest, 2>
<soul, 2>
<ever, 5>
<lived, 1>
<pleasant, 8>
<Her, 2>
<family, 4>
<separate, 1>
<from, 14>
<rest, 1>
<knows, 2>
<Don, 1>
<care, 10>
<honest, 2>
<ashamed, 4>
<Nor, 1>
<writing, 5>
<All, 1>
<get, 7>
<ideas, 2>
<even, 5>
<haven, 3>
<bring, 2>
<home, 10>
<quantities, 1>
<material, 2>
<rubbish, 2>
<doubt, 2>
<these, 7>
<reasons, 1>
<sudden, 2>
<fancy, 7>
<May, 1>
<others, 5>
<then, 16>
<slowly, 2>
<color, 2>
<cheeks, 2>
<vain, 1>
<wrong, 2>
<afraid, 3>
<getting, 4>
<fond, 5>
<evident, 2>
<begins, 1>
<put, 12>
<question, 2>
<love, 4>
<boy, 4>
<immensely, 3>
<proud, 4>
<please, 3>
<Because, 1>
<suited, 1>
<another, 7>
<As, 5>
<friends, 3>
<happy, 8>
<frequent, 1>
<quarrels, 1>
<blow, 1>
<fear, 3>
<both, 8>
<rebel, 1>
<mated, 1>
<life, 6>
<alike, 1>
<freedom, 1>
<mention, 1>
<tempers, 1>
<strong, 5>
<wills, 1>
<happily, 1>
<relation, 1>
<needs, 1>
<infinite, 1>
<patience, 2>
<forbearance, 1>
<feeling, 6>
<couldn, 7>
<express, 3>
<beginning, 4>
<sadly, 2>
<unhappy, 1>
<fall, 3>
<fellow, 3>
<merely, 1>
<gratitude, 1>
<could, 10>
<sure, 5>
<The, 23>
<deepened, 1>
<look, 9>
<mingled, 1>
<pleasure, 1>
<pride, 1>
<wear, 2>
<speaking, 1>
<first, 8>
<lovers, 1>
<hasn, 1>
<looks, 3>
<deal, 3>
<before, 9>
<comes, 4>
<agree, 1>
<managed, 1>
<relieved, 2>
<smiling, 1>
<How, 1>
<Moffat, 1>
<wonder, 2>
<management, 2>
<how, 7>
<rejoice, 1>
<Annie, 1>
<hope, 3>
<mothers, 1>
<differ, 1>
<same, 3>
<desire, 2>
<Meg, 2>
<content, 1>
<success, 2>
<leave, 5>
<enjoy, 1>
<liberty, 1>
<tire, 1>
<sweeter, 2>
<Amy, 6>
<chief, 1>
<sense, 4>
<For, 1>
<indulge, 3>
<hopes, 1>
<except, 5>
<By, 1>
<seems, 6>
<brighter, 1>
<last, 6>
<or, 25>
<two, 13>
<Have, 1>
<spoken, 2>
<owned, 1>
<promised, 6>
<told, 7>
<story, 7>
<shook, 1>
<take, 12>
<romantic, 3>
<view, 2>
<case, 1>
<grave, 1>
