<Shan, 2>
<disturb, 2>
<Not, 7>
<bit, 6>
<because, 13>
<strange, 2>
<first, 2>
<did, 23>
<please, 4>
<unless, 1>
<The, 13>
<sat, 8>
<his, 23>
<pumps, 1>
<polite, 3>
<think, 16>
<pleasure, 5>
<seeing, 2>
<before, 6>
<You, 12>
<live, 2>
<near, 4>
<Next, 1>
<door, 4>
<outright, 1>
<prim, 1>
<manner, 1>
<funny, 7>
<remembered, 3>
<how, 20>
<chatted, 2>
<cricket, 2>
<brought, 4>
<cat, 4>
<home, 18>
<That, 8>
<too, 10>
<heartiest, 1>
<way, 15>
<We, 12>
<such, 10>
<Christmas, 2>
<present, 1>
<Grandpa, 3>
<sent, 4>
<now, 9>
<Miss, 4>
<sober, 1>
<while, 5>
<black, 5>
<eyes, 8>
<shone, 1>
<fun, 6>
<Nicely, 1>
<thank, 3>
<Mr, 16>
<am, 10>
<m, 20>
<young, 8>
<Laurie, 29>
<what, 20>
<odd, 1>
<name, 4>
<My, 4>
<Theodore, 1>
<fellows, 2>
<called, 9>
<Dora, 2>
<made, 13>
<say, 11>
<instead, 9>
<hate, 3>
<sentimental, 1>
<every, 4>
<Josephine, 1>
<make, 12>
<boys, 7>
<stop, 7>
<calling, 2>
<thrashed, 1>
<em, 2>
<thrash, 1>
<Aunt, 11>
<suppose, 3>
<bear, 4>
<resigned, 1>
<sigh, 2>
<dance, 6>
<looking, 15>
<thought, 9>
<suited, 1>
<enough, 8>
<there, 14>
<plenty, 2>
<everyone, 4>
<lively, 4>
<In, 1>
<sure, 5>
<upset, 2>
<something, 14>
<tread, 1>
<toes, 1>
<dreadful, 5>
<mischief, 1>
<sail, 1>
<Sometimes, 1>
<been, 16>
<abroad, 1>
<years, 2>
<haven, 3>
<company, 4>
<yet, 6>
<things, 13>
<Abroad, 1>
<Oh, 7>
<tell, 16>
<love, 2>
<dearly, 4>
<hear, 4>
<describe, 2>
<travels, 2>
<seem, 6>
<where, 10>
<begin, 4>
<eager, 3>
<questions, 2>
<set, 5>
<him, 28>
<going, 16>
<told, 9>
<school, 6>
<Vevay, 2>
<wore, 3>
<hats, 1>
<fleet, 1>
<boats, 1>
