<cowardly, 1>
<girls, 23>
<resolved, 2>
<stay, 3>
<get, 10>
<scrape, 1>
<second, 4>
<look, 7>
<showed, 2>
<living, 1>
<under, 6>
<bushy, 1>
<eyebrows, 2>
<kinder, 1>
<painted, 1>
<ones, 3>
<sly, 1>
<twinkle, 1>
<lessened, 1>
<fear, 7>
<gruffer, 1>
<abruptly, 1>
<dreadful, 4>
<So, 8>
<hey, 2>
<Not, 6>
<quite, 16>
<ve, 8>
<But, 10>
<spite, 2>
<Yes, 11>
<do, 28>
<answer, 3>
<short, 2>
<shook, 8>
<putting, 2>
<finger, 2>
<chin, 1>
<examined, 1>
<gravely, 1>
<let, 5>
<saying, 6>
<nod, 2>
<spirit, 3>
<haven, 6>
<man, 9>
<brave, 1>
<honest, 1>
<one, 21>
<proud, 6>
<friend, 7>
<comfortable, 1>
<suited, 3>
<exactly, 1>
<been, 18>
<doing, 4>
<this, 17>
<mine, 1>
<next, 6>
<sharply, 2>
<put, 8>
<Only, 2>
<trying, 6>
<neighborly, 2>
<visit, 2>
<needs, 2>
<cheering, 1>
<seems, 1>
<lonely, 3>
<young, 14>
<folks, 2>
<perhaps, 1>
<We, 4>
<we, 12>
<glad, 3>
<help, 3>
<forget, 2>
<splendid, 6>
<Christmas, 1>
<present, 2>
<sent, 4>
<us, 6>
<eagerly, 2>
<Tut, 1>
<tut, 2>
<affair, 2>
<How, 9>
<poor, 3>
<woman, 2>
<Doing, 1>
<nicely, 1>
<Hummels, 1>
<whom, 2>
<mother, 14>
<interested, 1>
<richer, 1>
<friends, 4>
<Just, 5>
<father, 4>
<shall, 7>
<day, 12>
<There, 6>
<tea, 5>
<early, 2>
<account, 1>
<Come, 3>
<d, 8>
<Shouldn, 1>
<offered, 2>
<arm, 3>
<fashioned, 3>
<courtesy, 1>
<Meg, 29>
<marched, 2>
<while, 7>
<danced, 1>
<fun, 3>
<imagined, 1>
<telling, 1>
<story, 2>
<home, 14>
<Hey, 3>
<Why, 6>
<dickens, 1>
<has, 6>
<running, 2>
<downstairs, 2>
