Top Subset,Importance,AUC Score
"[  0   4  16  18  19  20  21  22  25  27  29  31  32  33  36  37  38  44
  45  46  48  49  51  53  56  68  70  71  76  77  78  79  82  84  85  86
  87  89  94  95  98  99 100 103 104 105 106 107]",0.08434738166781015,0.9191176470588235
"[  2   5  11  12  13  14  18  22  23  24  25  26  27  29  30  31  32  37
  42  45  48  49  52  54  56  58  61  63  64  66  68  73  75  76  77  78
  79  80  82  85  90  91  92  99 103 106 107]",0.08406731428142875,0.9117647058823529
"[  4   6   9  12  20  21  24  25  26  27  31  33  36  37  38  44  45  46
  47  48  49  51  58  59  61  63  67  68  70  74  76  77  78  81  84  85
  89  91  93  97  98  99 100 103 105 106]",0.08261921241499003,0.9191176470588235
"[  0   9  13  16  19  20  22  23  24  26  27  28  29  30  33  35  37  39
  41  44  45  46  48  49  51  53  54  56  57  58  63  64  68  70  71  75
  78  85  88  89  91  94  98  99 102 103 104 105 106 107]",0.08254592139107166,0.9191176470588235
"[  0   1   3   5   7   9  12  14  19  20  22  26  29  41  42  45  49  50
  56  57  58  59  68  70  71  74  76  77  78  79  91  94  96  98 102 104
 106 107]",0.08245741673751061,0.9191176470588235
